"Name","Type"
"OT_DOLG","NUMBER(10,2)"
"LASTPD","NUMBER(9)"
"SOPLO","NUMBER(16,2)"
"SOPLT","NUMBER(16,2)"
"OT_PER","NUMBER(10,2)"
"LASTPN","NUMBER(9)"
"FIO","VARCHAR2(40)"
"SOPLD","NUMBER(16,2)"
"SOPLE","NUMBER(16,2)"
"LASTPP","NUMBER(9)"
"SOPLG","NUMBER(16,2)"
"RV_N","NUMBER(10,4)"
"SCHET","VARCHAR2(8)"
"P_ND","NUMBER(9)"
"P_NN","NUMBER(9)"
"GEK","VARCHAR2(2)"
"UL","VARCHAR2(30)"
"T_NN","NUMBER(16,3)"
"T_NP","NUMBER(16,3)"
"P_NP","NUMBER(9)"
"RAION","NUMBER(4)"
"T_ND","NUMBER(16,3)"
"NRAZRJAD","NUMBER(1)"
"GOROD","VARCHAR2(40)"
"NULITSAID","NUMBER(12)"
"LIT","VARCHAR2(2)"
"DOLG_NA","VARCHAR2(8)"
"ACCT_ID","VARCHAR2(10)"
"P_IND","VARCHAR2(6)"
"MES_OPL","VARCHAR2(4)"
"V_DOLG","NUMBER(10,2)"
"PASSKEY","NUMBER(6)"
"NPROJIV","NUMBER(2)"
"BADGE_NBR","VARCHAR2(30)"
"NVLADELEZ","VARCHAR2(7)"
"DLASTP","DATE"
"DOLGDOM","NUMBER(16,2)"
"R_DOM","NUMBER(9)"
"NPLOSHAD","NUMBER(7,2)"
"S_ED","NUMBER(16,2)"
"SE1","NUMBER(16,2)"
"S_DOM","NUMBER(16,2)"
"KORP","NUMBER(4)"
"DOG","NUMBER(4)"
"S_EP","NUMBER(16,2)"
"S_EN","NUMBER(16,2)"
"R_NP","NUMBER(9)"
"R_NN","NUMBER(9)"
"NSHKAL","NUMBER(2)"
"SV_N","NUMBER(10,2)"
"IT_MP","NUMBER(16,2)"
"NSETI","VARCHAR2(7)"
"R_ND","NUMBER(9)"
"IT_MD","NUMBER(16,2)"
"VLADELEZ","VARCHAR2(150)"
"DOM","VARCHAR2(4)"
"SE5","NUMBER(10,2)"
"SE4","NUMBER(10,2)"
"IT_EP","NUMBER(16,2)"
"SE3","NUMBER(16,2)"
"SE2","NUMBER(16,2)"
"IT_ED","NUMBER(16,2)"
"IT_E","NUMBER(16,2)"
"ST_N","NUMBER(10,2)"
"CHAST","NUMBER(4)"
"S_M","NUMBER(16,2)"
"PER_DOM","NUMBER(16,2)"
"PRED","NUMBER(4)"
"ISPRINT","NUMBER(1)"
"V_PER","NUMBER(10,2)"
"NNASPUNKT","VARCHAR2(11)"
"SUMMA_E","NUMBER(16,2)"
"DOLGNIK","NUMBER(1)"
"TREST","VARCHAR2(3)"
"NROOM","NUMBER(4)"
"TARV","NUMBER(7,2)"
"KV","CHAR(9)"
"TARO","NUMBER(7,2)"
"POSELOK","VARCHAR2(30)"
"NY4D","NUMBER(6)"
"OTDELENIE","VARCHAR2(255)"
"NDOMID","VARCHAR2(10)"
"PLMOI","NUMBER(8,2)"
"PLFL","NUMBER(8,2)"
"PLUL","NUMBER(8,2)"
"T_ODRD","NUMBER(16,3)"
"NORMODR","NUMBER(6,2)"
"T_ODRN","NUMBER(16,3)"
"R_ODRN","NUMBER(9)"
"S_ODRN","NUMBER(16,2)"
"NORM","NUMBER(6,2)"
"ISSHETODN","NUMBER(1)"
"RDOMODN","NUMBER(10)"
"RDOMSUM","NUMBER(10)"
"SP_ID","VARCHAR2(10)"
"NSCHETCH","VARCHAR2(16)"
"BLRTUP","DATE"
"IS_OBSH","NUMBER(1)"
"SUM_PROP","NUMBER(4)"
"OB_RASXD","NUMBER(9)"
"OB_RASXN","NUMBER(9)"
"OB_RASXPUD","NUMBER(9)"
"OB_RASXPUN","NUMBER(9)"
"OB_RASXUL","NUMBER(9)"
"MTR_S_DT","DATE"
"UV_MPI","NUMBER(1)"
"UV_RN","NUMBER(1)"
"RDOMSUMUL","NUMBER(10)"
